# file...... time_results/regulator_power_loss.csv
# date...... Tue Nov  7 23:40:09 2017
# user...... ericlinxie
# host...... (null)
# group..... class=regulator
# property.. power_losses
# limit..... 0
# interval.. 0
# timestamp,fregm650m630
2000-08-02 00:00:00 HDT,+82.9581+2.91038e-10i
2000-08-02 01:00:00 HDT,+82.9581-2.32831e-10i
2000-08-02 02:00:00 HDT,+82.9581+5.82077e-11i
2000-08-02 03:00:00 HDT,+82.9581-1.74623e-10i
2000-08-02 04:00:00 HDT,+82.9581+2.32831e-10i
2000-08-02 05:00:00 HDT,+82.9581+1.74623e-10i
2000-08-02 06:00:00 HDT,+82.9581+5.82077e-11i
2000-08-02 07:00:00 HDT,+82.9581+0i
2000-08-02 08:00:00 HDT,+82.9581+1.16415e-10i
2000-08-02 09:00:00 HDT,+82.9581-5.82077e-11i
2000-08-02 10:00:00 HDT,+82.9581+1.16415e-10i
2000-08-02 11:00:00 HDT,+82.9581+1.74623e-10i
2000-08-02 12:00:00 HDT,+82.9581+0i
2000-08-02 13:00:00 HDT,+82.9581+3.49246e-10i
2000-08-02 14:00:00 HDT,+82.9581-5.82077e-11i
2000-08-02 15:00:00 HDT,+82.9581+5.82077e-11i
2000-08-02 16:00:00 HDT,+82.9581+0i
2000-08-02 17:00:00 HDT,+82.9581+0i
2000-08-02 18:00:00 HDT,+82.9581+0i
2000-08-02 19:00:00 HDT,+82.9581+0i
2000-08-02 20:00:00 HDT,+82.9581+5.82077e-11i
2000-08-02 21:00:00 HDT,+82.9581-1.74623e-10i
2000-08-02 22:00:00 HDT,+82.9581-5.82077e-11i
2000-08-02 23:00:00 HDT,+82.9581+5.82077e-11i
2000-08-03 00:00:00 HDT,+82.9581+5.82077e-11i
